Months,Days,Date,Public Sale,Private Sale,Staking Reward,Play to Earn,Advisors,team,Ecosystem Fund,Total issuance,,,,,,,,,,
Day 0,0,11/4/20," 29,700,000.00 "," 2,160,000.00 ", -   ," 4,725,000.00 "," 4,500,000.00 "," 10,800,000.00 "," 8,100,000.00 "," 59,985,000.00 ",,,,,,,,,,
Month 3,90,2/2/21," 29,700,000.00 "," 2,160,000.00 ", -   ," 9,450,000.00 "," 4,500,000.00 "," 10,800,000.00 "," 8,100,000.00 "," 64,710,000.00 ",,,,,,,,,,
Month 6,90,5/3/21," 29,700,000.00 "," 4,320,000.00 "," 2,283,750.00 "," 18,900,000.00 "," 6,300,000.00 "," 10,800,000.00 "," 9,787,500.00 "," 82,091,250.00 ",,,,,,,,,,
Month 9,90,8/1/21," 29,700,000.00 "," 4,320,000.00 "," 9,135,000.00 "," 18,900,000.00 "," 6,300,000.00 "," 10,800,000.00 "," 9,787,500.00 "," 88,942,500.00 ",,,,,,,,,,
Month 12,90,10/30/21," 29,700,000.00 "," 6,480,000.00 "," 15,986,250.00 "," 25,650,000.00 "," 9,000,000.00 "," 16,537,500.00 "," 11,475,000.00 "," 114,828,750.00 ",,,,,,,,,,
Month 15,90,1/28/22," 29,700,000.00 "," 6,480,000.00 "," 22,837,500.00 "," 25,650,000.00 "," 9,000,000.00 "," 16,537,500.00 "," 11,475,000.00 "," 121,680,000.00 ",,,,,,,,,,
Month 18,90,4/28/22," 29,700,000.00 "," 8,640,000.00 "," 29,036,250.00 "," 32,400,000.00 "," 11,700,000.00 "," 22,275,000.00 "," 13,162,500.00 "," 146,913,750.00 ",,,,,,,,,,
Month 21,90,7/27/22," 29,700,000.00 "," 8,640,000.00 "," 33,930,000.00 "," 32,400,000.00 "," 11,700,000.00 "," 22,275,000.00 "," 13,162,500.00 "," 151,807,500.00 ",,,,,,,,,,
Month 24,90,10/25/22," 29,700,000.00 "," 10,800,000.00 "," 38,823,750.00 "," 37,125,000.00 "," 14,400,000.00 "," 28,012,500.00 "," 14,850,000.00 "," 173,711,250.00 ",,,,,,,,,,
Month 27,90,1/23/23," 29,700,000.00 "," 10,800,000.00 "," 43,717,500.00 "," 37,125,000.00 "," 14,400,000.00 "," 28,012,500.00 "," 14,850,000.00 "," 178,605,000.00 ",,,,,,,,,,
Month 30,90,4/23/23," 29,700,000.00 "," 10,800,000.00 "," 48,121,875.00 "," 41,850,000.00 "," 17,100,000.00 "," 33,750,000.00 "," 16,537,500.00 "," 197,859,375.00 ",,,,,,,,,,
Month 33,90,7/22/23," 29,700,000.00 "," 10,800,000.00 "," 51,547,500.00 "," 41,850,000.00 "," 17,100,000.00 "," 33,750,000.00 "," 16,537,500.00 "," 201,285,000.00 ",,,,,,,,,,
Month 36,90,10/20/23," 29,700,000.00 "," 10,800,000.00 "," 54,973,125.00 "," 45,225,000.00 "," 18,000,000.00 "," 39,487,500.00 "," 18,225,000.00 "," 216,410,625.00 ",,,,|,,,,,,
Month 39,90,1/18/24," 29,700,000.00 "," 10,800,000.00 "," 58,398,750.00 "," 45,225,000.00 "," 18,000,000.00 "," 39,487,500.00 "," 18,225,000.00 "," 219,836,250.00 ",,,,,,,,,,
Month 42,90,4/17/24," 29,700,000.00 "," 10,800,000.00 "," 61,498,125.00 "," 48,600,000.00 "," 18,900,000.00 "," 45,225,000.00 "," 19,912,500.00 "," 234,635,625.00 ",,,,,,,,,,
Month 45,90,7/16/24," 29,700,000.00 "," 10,800,000.00 "," 63,945,000.00 "," 48,600,000.00 "," 18,900,000.00 "," 45,225,000.00 "," 19,912,500.00 "," 237,082,500.00 ",,,,,,,,,,
Month 48,90,10/14/24," 29,700,000.00 "," 10,800,000.00 "," 66,391,875.00 "," 51,300,000.00 "," 18,900,000.00 "," 50,962,500.00 "," 21,600,000.00 "," 249,654,375.00 ",,,,,,,,,,
Month 51,90,1/12/25," 29,700,000.00 "," 10,800,000.00 "," 68,838,750.00 "," 51,300,000.00 "," 18,900,000.00 "," 50,962,500.00 "," 21,600,000.00 "," 252,101,250.00 ",,,,,,,,,,
Month 54,90,4/12/25," 29,700,000.00 "," 10,800,000.00 "," 71,122,500.00 "," 54,000,000.00 "," 18,900,000.00 "," 56,700,000.00 "," 21,600,000.00 "," 262,822,500.00 ",,,,,,,,,,
Month 57,90,7/11/25," 29,700,000.00 "," 10,800,000.00 "," 73,080,000.00 "," 54,000,000.00 "," 18,900,000.00 "," 56,700,000.00 "," 21,600,000.00 "," 264,780,000.00 ",,,,,,,,,,
Month 60,90,10/9/25," 29,700,000.00 "," 10,800,000.00 "," 75,037,500.00 "," 54,000,000.00 "," 18,900,000.00 "," 56,700,000.00 "," 21,600,000.00 "," 266,737,500.00 ",,,,,,,,,,
Month 63,90,1/7/26," 29,700,000.00 "," 10,800,000.00 "," 76,995,000.00 "," 54,000,000.00 "," 18,900,000.00 "," 56,700,000.00 "," 21,600,000.00 "," 268,695,000.00 ",,,,,,,,,,
Month 65,90,4/7/26," 29,700,000.00 "," 10,800,000.00 "," 78,300,000.00 "," 54,000,000.00 "," 18,900,000.00 "," 56,700,000.00 "," 21,600,000.00 "," 270,000,000.00 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
